"쫚초",쥂,쥂,쒢,쒢
"쫚초",쏯좙홒훳(GNI 젌점) (쫡쮪 ),1첉얺 쏯좙홒훳 (쟞 ),쏯좙홒훳(GNI 젌점) (쫡쮪 ),1첉얺 쏯좙홒훳 (쟞 )
"1990",16407.3,81.1,200355.3,467.4
"1991",16766.7,81.8,242234.5,559.5
"1992",16446.6,79.1,277172.6,633.6
"1993",16430.5,77.9,314760.4,712.2
"1994",17025.5,79.5,371554.7,832.3
"1995",17169.5,79.1,435384.8,965.5
"1996",17255.5,78.5,489129.4,1074.4
"1997",16814.2,75.7,539090.8,1173.1
"1998",17597.2,78.7,530262.2,1145.6
"1999",18741.0,83.3,584929.4,1254.8
"2000",18977.9,83.6,647274.2,1376.9
"2001",20287.0,88.6,702236.4,1482.4
"2002",21330.7,92.4,781828.8,1641.0
"2003",21946.6,94.4,834443.2,1742.3
"2004",23767.1,101.5,906864.7,1886.1
"2005",24791.6,105.2,950685.4,1973.0
"2006",24429.2,103.0,1002664.7,2070.0
"2007",24826.8,104.1,1086897.3,2232.6
"2008",27347.2,114.3,1154509.7,2353.5
"2009",28634.6,119.0,1203479.8,2440.7
"2010",30048.7,124.2,1324586.9,2673.0
"2011",32438.3,133.4,1397534.8,2798.6
"2012",33479.0,137.1,1455170.3,2898.8
"2013",33844.0,137.9,1510384.9,2995.1
"2014",34235.9,138.8,1570493.3,3094.8
"2015",34512.0,139.3,1663206.6,3260.2
"2016",36373.3,146.1,1747143.5,3411.2
"2017",36630.8,146.4,1843180.9,3588.6
"2018",35895.1,142.8,1905837.5,3693.0
"2019",35561.6,140.8,1941107.9,3753.9
"2020",34970.4,137.9,1957669.9,3776.6
"2021",36253.2,142.3,2103612.0,4065.4
"2022",36704.2,143.0,2193527.5,4248.7
