쫚초,쥂,쒢
쫚초,썭촍쨬천,썭촍쨬천
1990,-4.3,9.9
1991,-4.4,10.8
1992,-7.1,6.2
1993,-4.5,6.9
1994,-2.1,9.3
1995,-4.4,9.6
1996,-3.4,7.9
1997,-6.5,6.2
1998,-0.9,-5.1
1999,6.1,11.5
2000,0.4,9.1
2001,3.8,4.9
2002,1.2,7.7
2003,1.8,3.1
2004,2.1,5.2
2005,3.8,4.3
2006,-1,5.3
2007,-1.2,5.8
2008,3.1,3
2009,-0.9,0.8
2010,-0.5,6.8
2011,0.8,3.7
2012,1.3,2.4
2013,1.1,3.2
2014,1,3.2
2015,-1.1,2.8
2016,3.9,2.9
2017,-3.5,3.2
2018,-4.1,2.9
2019,0.4,2.2
2020,-4.5,-0.7
2021,-0.1,4.3
2022,-0.2,2.6
